$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    17.303,   22.2222,   12.1533,   11.0888,    3.2104,
    17.400,   22.2219,   12.2340,   10.9866,    3.1998,
    17.500,   22.2226,   12.3168,   10.8826,    3.1887,
    17.600,   22.2248,   12.4018,   10.7662,    3.1765,
    17.704,   22.2272,   12.4840,   10.6482,    3.1650,
    17.803,   22.2289,   12.5661,   10.4750,    3.1482,
    17.900,   22.2314,   12.6513,   10.4885,    3.1491,
    18.000,   22.2344,   12.7304,   10.4060,    3.1404,
    18.100,   22.2388,   12.8126,   10.3022,    3.1293,
    18.201,   22.2431,   12.8926,   10.1920,    3.1173,
    18.307,   22.2474,   12.9721,   10.0824,    3.1048,
    18.400,   22.2520,   13.0477,    9.9781,    3.0927,
    18.500,   22.2585,   13.1244,    9.8414,    3.0768,
    18.600,   22.2645,   13.2022,    9.7263,    3.0633,
    18.708,   22.2702,   13.2842,    9.6041,    3.0493,
    18.801,   22.2755,   13.3545,    9.4337,    3.0304,
    18.900,   22.2789,   13.4351,    9.3877,    3.0249,
    19.000,   22.2848,   13.5049,    9.3478,    3.0189,
    19.100,   22.2916,   13.5813,    9.2381,    3.0049,
    19.208,   22.2984,   13.6561,    9.1222,    2.9903,
    19.303,   22.3057,   13.7202,    9.0134,    2.9759,
    19.400,   22.3132,   13.7939,    8.8951,    2.9605,
    19.500,   22.3153,   13.8795,    8.7984,    2.9490,
    19.600,   22.3155,   13.9680,    8.7166,    2.9398,
    19.701,   22.3196,   14.0446,    8.6122,    2.9265,
    19.803,   22.3257,   14.1186,    8.4975,    2.9114,
    19.900,   22.3328,   14.1852,    8.3586,    2.8933,
    20.000,   22.3416,   14.2456,    8.2375,    2.8767,
    20.100,   22.3513,   14.3044,    8.1078,    2.8583,
    20.201,   22.3606,   14.3588,    7.9874,    2.8408,
    20.303,   22.3710,   14.4147,    7.8648,    2.8225,
    20.400,   22.3817,   14.4729,    7.7471,    2.8046,
    20.500,   22.3908,   14.5281,    7.6442,    2.7890,
    20.600,   22.4017,   14.5855,    7.5351,    2.7720,
    20.703,   22.4136,   14.6401,    7.4174,    2.7535,
    20.801,   22.4273,   14.6803,    7.3038,    2.7350,
    20.900,   22.4464,   14.7148,    7.1709,    2.7124,
    21.000,   22.4620,   14.7497,    7.0563,    2.6931,
    21.100,   22.4799,   14.7720,    6.9192,    2.6686,
    21.201,   22.4964,   14.7985,    6.7894,    2.6454,
    21.302,   22.5123,   14.8266,    6.6685,    2.6235,
    21.400,   22.5316,   14.8460,    6.5450,    2.6007,
    21.500,   22.5457,   14.8792,    6.4371,    2.5809,
    21.600,   22.5582,   14.9159,    6.3425,    2.5634,
    21.702,   22.5717,   14.9577,    6.2531,    2.5466,
    21.802,   22.5878,   14.9892,    6.1462,    2.5266,
    21.900,   22.6054,   15.0203,    6.0480,    2.5073,
    22.000,   22.6249,   15.0438,    5.9523,    2.4882,
    22.100,   22.6494,   15.0676,    5.8527,    2.4679,
    22.208,   22.6724,   15.0984,    5.7580,    2.4486,
    22.302,   22.6920,   15.1326,    5.6732,    2.4313,
    22.400,   22.7076,   15.1750,    5.5981,    2.4164,
    22.500,   22.7185,   15.2282,    5.5337,    2.4040,
    22.600,   22.7279,   15.2876,    5.4771,    2.3929,
